channel,channel_url,followers,sub_vertical,example_video,tier,needs
Aliena Cai,https://www.youtube.com/channel/UCdImQC-ytxsJss3d1cqdOzA,154000,ux design,"If I started UX in 2026, I’d do this",challenger,verify sells course/cohort; enrich email
Lily Cameron,https://www.youtube.com/channel/UCWiqfmjQtWp0W8jtk__eLJg,88200,ux design,"How I became a UX designer in 3 months (no experience, no bootcamp)",challenger,verify sells course/cohort; enrich email
Jake Ferrin,https://www.youtube.com/channel/UCXsGXvytTgHvoHI4Vu8CtrQ,46800,ux design,The Secret to Landing Your First UX Design Job,challenger,verify sells course/cohort; enrich email
mimi michi,https://www.youtube.com/channel/UCxgbmfU0a2wEBCiklVGkqlA,35900,ux design,How I’d become a UX designer in 2025 (if I could start over),challenger,verify sells course/cohort; enrich email
Designalily,https://www.youtube.com/channel/UC8pcywXxprZc4Tk8J5OzVQA,28800,ux design,How to break into product design in 2026 (REAL truth),challenger,verify sells course/cohort; enrich email
Shreya Heda,https://www.youtube.com/channel/UCR_C-rzgadiu334AFIst0pA,15900,ux design,How to Become a UX Designer: Realistic Roadmap,challenger,verify sells course/cohort; enrich email
Cecilia Kim,https://www.youtube.com/channel/UCi61xa-UMCkAo3hapTFq_SQ,10600,ux design,How to Actually Learn UI/UX Design On Your Own (+ day in the life),challenger,verify sells course/cohort; enrich email
Inès Mir,https://www.youtube.com/channel/UCodqoWDeS21g85dgryKz-Yw,7260,ux design,Best portfolio of a junior UX designer | UX Portfolio Review,challenger,verify sells course/cohort; enrich email
Kyle Torres,https://www.youtube.com/channel/UCCxTZw091Q6A7IP_1TynshA,5650,ux design,"Junior UX Designer Portfolio Review (Make these changes, get more job interviews)",challenger,verify sells course/cohort; enrich email
Heigi Jeong,https://www.youtube.com/channel/UC6A2JlPQr_IK5_RH7gseGNA,3870,ux design,How to Become a UX Designer in 2025 (No Degree or Bootcamp),challenger,verify sells course/cohort; enrich email
