name,sub_vertical,channel_or_platform,audience_signal,course_cohort_evidence,parasite_target_king,king_channel,content_depth_note,tier,contact_path,confidence,needs
"Hello Interview","SWE / system design","youtube.com/@hello_interview","mid-tier, fast-growing","Course: ""System Design in a Hurry"" (hellointerview.com), used by tens of thousands","ByteByteGo","youtube.com/@ByteByteGo (1.37M)","King has deep multi-year SD library; HI can out-execute on depth + AI mocks","challenger","hellointerview.com / LinkedIn","High","verify email via Hunter/Findymail"
"Success in Tech","SWE / system design + career","Success in Tech (YouTube)","~240K subs","Courses on site (verify)","ByteByteGo","youtube.com/@ByteByteGo (1.37M)","Career-strategy angle vs king's pure-tech; clear gap to mine","challenger","site / LinkedIn","Med","verify course + email"
"Gaurav Sen","System design","Gaurav Sen (YouTube) / InterviewReady","well-known SD educator","Course: InterviewReady (interviewready.io)","ByteByteGo","youtube.com/@ByteByteGo (1.37M)","Strong library; flag as borderline-king","borderline-king","interviewready.io / LinkedIn","Med","verify tier + email"
"Kevin Naughton Jr.","Coding / LeetCode","youtube.com (Kevin Naughton Jr.)","127K subs, 203 videos","Patreon + coaching (verify packaged course)","NeetCode","youtube.com/@NeetCode (546K, 351 videos)","Same format as king, smaller library = obvious gap list","challenger","Patreon / LinkedIn","High","verify course + email"
"Greg Hogg (AlgoMap)","Coding / DSA + ML","youtube.com/@GregHogg","650k+ followers, 150M+ views","AlgoMap.io coding interview bootcamp","NeetCode","youtube.com/@NeetCode (546K)","Very strong; likely too big — flag borderline-king","borderline-king","algomap.io / LinkedIn","High","verify tier; email"
"Ken Jee","Data science career","Ken Jee (YouTube)","#66DaysOfData community","Own courses + community","Tina Huang","youtube.com/@TinaHuang1 (~1M)","King ~1M; Ken niches into sports/career analytics","challenger","kenjee.com / LinkedIn","High","verify email"
"Bryan Creely (A Life After Layoff)","Job search / resume / interview","A Life After Layoff (YouTube)","established recruiter channel","Courses: resume + A-Z interview training (alifeafterlayoff.com)","Linda Raynier","youtube.com/@LindaRaynier (~1M)","Recruiter-insider angle vs king's polished evergreen","challenger","alifeafterlayoff.com / linkedin.com/in/bryancreely","High","verify email"
"Jeff Su","Career / productivity","youtube.com/@JeffSu","ex-Google, large audience","Career courses (jeffsu.org/career)","Linda Raynier","youtube.com/@LindaRaynier (~1M)","High production; gap = breadth of job-search funnel topics","challenger","jeffsu.org / LinkedIn","High","verify email"
"Don Georgevich (Job Interview Tools)","Interview prep","Don Georgevich (YouTube, since 2008)","long-running interview channel","Courses + books since 2008 (jobinterviewtools.com)","Linda Raynier","youtube.com/@LindaRaynier (~1M)","Deep 15-yr library, dated style = strong ""improve their best"" angle","challenger","jobinterviewtools.com / linkedin.com/in/dgeorgevich","High","verify email"
"Jenny Foss (JobJenny)","Career / resume","JobJenny + LinkedIn Learning","recruiter / coach","Courses (jobjenny.com) + LinkedIn Learning catalog","Linda Raynier","youtube.com/@LindaRaynier (~1M)","Light on YouTube = greenfield for a content engine","challenger","jobjenny.com / LinkedIn","High","verify email"
