channel,channel_url,followers,sub_vertical,example_video,tier,needs
With Sandra,https://www.youtube.com/channel/UC5qEPWtHLFRIjhW_3xd5g2A,164000,cybersecurity,Where Are The Cybersecurity Jobs in 2026? Can you Still Break Into Cybersecurity in 2026?,challenger,verify sells course/cohort; enrich email
Cyber with Ben,https://www.youtube.com/channel/UCPk5EdfTqVkEzDQ89FeuOgA,125000,cybersecurity,How I Would Learn Cyber Security if I Could Start Over in 2025 (Beginner Roadmap),challenger,verify sells course/cohort; enrich email
Aman Manazir,https://www.youtube.com/channel/UCh0b668zDtV1XLcZuIwEbag,89200,cybersecurity,Everything You Need to Break Into Cybersecurity in 27 Minutes,challenger,verify sells course/cohort; enrich email
MyDFIR,https://www.youtube.com/channel/UCWoH3f-Yx6TxJfO2O_ezJUw,83700,cybersecurity,Cybersecurity Career Paths: Which One Is Right for You?,challenger,verify sells course/cohort; enrich email
The Bearded I.T. Dad,https://www.youtube.com/channel/UChJLXGlP37TEoqzU8Ae17bA,73300,cybersecurity,Breaking Into Cybersecurity: The Path Most People Get Wrong,challenger,verify sells course/cohort; enrich email
Jake's Tech,https://www.youtube.com/channel/UCuS7YbpU6K_ECGnWPn0L-rg,28600,cybersecurity,"The Truth About Cybersecurity Careers in 2026 (Jobs, Pay, Reality)",challenger,verify sells course/cohort; enrich email
CTRL+ALT+DEFEND,https://www.youtube.com/channel/UCneqQNEyUhRrM-GQyGapHVA,12100,cybersecurity,Breaking Into Cybersecurity in 2026 (Live Q&A),challenger,verify sells course/cohort; enrich email
Tech Woke,https://www.youtube.com/channel/UCVq5EoEUv5mYtYVBWjs9uXw,7540,cybersecurity,How to Get Into Cybersecurity in 2026 With No Experience (Real Strategy That Works),challenger,verify sells course/cohort; enrich email
Career Coaching with Ryan,https://www.youtube.com/channel/UCkBmg5m9KO6-ZustV-_5gfQ,7470,cybersecurity,How to Break into Cyber Security Sales in 2025,challenger,verify sells course/cohort; enrich email
Vicious Chxld,https://www.youtube.com/channel/UCpc8s24QsXGu_CqM3EeeDoA,6020,cybersecurity,10 Things I Wish I Knew BEFORE  getting in Cybersecurity (Don't Learn This the Hard Way),challenger,verify sells course/cohort; enrich email
