channel,channel_url,followers,sub_vertical,example_video,tier,needs
Founder-Led Revenue Growth,https://www.youtube.com/channel/UC3bLxUg5G7D8ImDI9V_f2qg,241000,tech sales,7 Insider Secrets To B2B Sales Success,challenger,verify sells course/cohort; enrich email
Elevate To The Unknown,https://www.youtube.com/channel/UCv3N90AXQxUtaSnKSqOoOpA,151000,tech sales,Break Into Tech Sales in 2025: No Experience Needed!,challenger,verify sells course/cohort; enrich email
Trent Dressel,https://www.youtube.com/channel/UCVH-JPDuoBUO_CCfASplB0w,55800,tech sales,Break into Tech Sales WITHOUT Any Experience (Timeless Guide 📝),challenger,verify sells course/cohort; enrich email
Matt Macnamara,https://www.youtube.com/channel/UCQB_2J-34GgbuHlKOm0buWA,49000,tech sales,The EXACT Cheat Codes to Break Into Tech Sales (in 90 Days),challenger,verify sells course/cohort; enrich email
Tech Sales With Higher Levels,https://www.youtube.com/channel/UC3M0vCYuGAEDy7SX1cWSqLw,44000,tech sales,The Path to a $300k+ Tech Sales Job (Explained In 5 Minutes),challenger,verify sells course/cohort; enrich email
Sales Feed,https://www.youtube.com/channel/UCR0OxYKALt3zfm5S0Ow0SkA,33800,tech sales,Cold Calling For Beginners: A Step-by-Step Guide To Book Sales Meetings,challenger,verify sells course/cohort; enrich email
Kayla Burke,https://www.youtube.com/channel/UCQ7HFIPFK_qXS9sW3TRbxcg,32700,tech sales,Tech Talks: What is Tech Sales & How to Get Into Tech Sales,challenger,verify sells course/cohort; enrich email
Glencoco,https://www.youtube.com/channel/UCgAe66iu3nOIOHzm1-1mF6Q,27500,tech sales,Alex Hormozi's Advice on Cold Calling,challenger,verify sells course/cohort; enrich email
Sell Better,https://www.youtube.com/channel/UCOGBiBoHd5n3f9Sz2KZT3CA,25800,tech sales,35 Minutes of Expert Cold Calling Tips (B2B & Software Sales),challenger,verify sells course/cohort; enrich email
Michael Humblet,https://www.youtube.com/channel/UCbyjfpbO-LWxue3wQC1qBvA,23700,tech sales,Advice for starting an Inside sales job in a software B2B company,challenger,verify sells course/cohort; enrich email
Connor Murray,https://www.youtube.com/channel/UCjnSH6b7z4zYNqPQP_5CTlA,21900,tech sales,How to Break Into Tech Sales in 2026 (Step by Step Guide),challenger,verify sells course/cohort; enrich email
30 Minutes to President’s Club,https://www.youtube.com/channel/UCku-dqryeYBuzh_0xVKPExw,19400,tech sales,Cold Calling Masterclass: 52 Minutes of Proven Cold Calling Tips (For B2B Sales),challenger,verify sells course/cohort; enrich email
Anthony Iannarino,https://www.youtube.com/channel/UCJoCWRU-uWRcFgVFsMbbJUg,14400,tech sales,The 17 minute Cold Call Course for B2B Sales,challenger,verify sells course/cohort; enrich email
John Barrows,https://www.youtube.com/channel/UCl3nWS_0BoF6mENXDdkQuZA,13100,tech sales,The Truth About SDR to AE Promotions No One Tells You,challenger,verify sells course/cohort; enrich email
Tech Bag Trey,https://www.youtube.com/channel/UC7m5BD3_cmT1GnwJBU03cNQ,12000,tech sales,Why You Shouldn't Get In Tech Sales...,challenger,verify sells course/cohort; enrich email
Vin Matano,https://www.youtube.com/channel/UCIb-B2Izxj0lj2lZ_jj21dw,8020,tech sales,Day in my life as an Account Executive | NYC VLOG,challenger,verify sells course/cohort; enrich email
Chris Bussing,https://www.youtube.com/channel/UCjBQk6TlfXkPLRCBn9z4bGA,7500,tech sales,The Ideal Tech Sales Career Path (2026 Edition),challenger,verify sells course/cohort; enrich email
Career Coaching with Ryan,https://www.youtube.com/channel/UCkBmg5m9KO6-ZustV-_5gfQ,7470,tech sales,How to be a better Tech Sales Account Executive,challenger,verify sells course/cohort; enrich email
Dylan Rich,https://www.youtube.com/channel/UCNXrmVdR9Tg8JBnnQpk0hEQ,7320,tech sales,LIVE COLD CALLING - How I effortlessly book meetings through cold calls,challenger,verify sells course/cohort; enrich email
Troy Barter,https://www.youtube.com/channel/UC7BaTX5s5cQi8xoaXsH2YPA,4400,tech sales,How To Crush Your Job Interview and Get Hired as a Tech Sales Development Representative (SDR),challenger,verify sells course/cohort; enrich email
The Muse,https://www.youtube.com/channel/UCk4bbQAZD26f_XdGyb4wwhg,4000,tech sales,Inside Look: A Day in the Life of a Salesforce Account Manager | Career Insights,challenger,verify sells course/cohort; enrich email
Sales Introverts™ - Kyle Asay,https://www.youtube.com/channel/UCx16UI_Blq06ar94OizTNdA,3770,tech sales,The IDEAL Day in the Life of a Tech Sales Account Executive,challenger,verify sells course/cohort; enrich email
Jenna Justman,https://www.youtube.com/channel/UCCzGX6gyF8iKEHwxVcVGyeA,3730,tech sales,What Does an Account Executive Do?,challenger,verify sells course/cohort; enrich email
