channel,followers,sub_vertical,icp,channel_url,needs
With Sandra,164000,cybersecurity,individual-coach,https://www.youtube.com/channel/UC5qEPWtHLFRIjhW_3xd5g2A,resolve website + enrich email
Boot dev,164000,break into tech,individual-coach,https://www.youtube.com/channel/UC9HOZ53gnHP3f_b-wixS74g,resolve website + enrich email
Aliena Cai,154000,ux design,individual-coach,https://www.youtube.com/channel/UCdImQC-ytxsJss3d1cqdOzA,resolve website + enrich email
Phillip Choi,152000,break into tech,individual-coach,https://www.youtube.com/channel/UCadUgezGZkA5IknHj2C89yg,resolve website + enrich email
Lore So What,148000,data science,individual-coach,https://www.youtube.com/channel/UCtoNXlIegvxkvf5Ji8S57Ag,resolve website + enrich email
Farah Sharghi,144000,job search,individual-coach,https://www.youtube.com/channel/UCJMoh2CdnIesjxN9cmGhrLA,resolve website + enrich email
Aishwarya Srinivasan,140000,break into tech,individual-coach,https://www.youtube.com/channel/UCzd4ZN716evEjtbJERBMTfg,resolve website + enrich email
Symoné B. Tech,135000,break into tech,individual-coach,https://www.youtube.com/channel/UCh38x3hzHHEw4c8xpkhTZyA,resolve website + enrich email
Cyber with Ben,125000,cybersecurity,individual-coach,https://www.youtube.com/channel/UCPk5EdfTqVkEzDQ89FeuOgA,resolve website + enrich email
Jean Lee,110000,data science,individual-coach,https://www.youtube.com/channel/UCelp2mfpa0fors7HePAodoA,resolve website + enrich email
Andrew Codesmith,95600,break into tech,individual-coach,https://www.youtube.com/channel/UCcgNiiErDGHICbNYtuyxW4A,resolve website + enrich email
Aman Manazir,89200,cybersecurity,individual-coach,https://www.youtube.com/channel/UCh0b668zDtV1XLcZuIwEbag,resolve website + enrich email
Lily Cameron,88200,ux design,individual-coach,https://www.youtube.com/channel/UCWiqfmjQtWp0W8jtk__eLJg,resolve website + enrich email
Art of Visualization,68500,data science,individual-coach,https://www.youtube.com/channel/UCHBWJGoZMkhJyElgvuN1U1w,resolve website + enrich email
Egor Howell,68000,data science,individual-coach,https://www.youtube.com/channel/UC9Tl0-lzeDPH4y7LcRwRSQA,resolve website + enrich email
Aspyre With Abhijay,56500,product management,individual-coach,https://www.youtube.com/channel/UCODkOkw7WmA7pA6qa4csdJw,resolve website + enrich email
Trent Dressel,55800,tech sales,individual-coach,https://www.youtube.com/channel/UCVH-JPDuoBUO_CCfASplB0w,resolve website + enrich email
Christine Jiang,53700,data science,individual-coach,https://www.youtube.com/channel/UC1BfD4tqpp-M7Y6zaAypupA,resolve website + enrich email
Matt Macnamara,49000,tech sales,individual-coach,https://www.youtube.com/channel/UCQB_2J-34GgbuHlKOm0buWA,resolve website + enrich email
Jake Ferrin,46800,ux design,individual-coach,https://www.youtube.com/channel/UCXsGXvytTgHvoHI4Vu8CtrQ,resolve website + enrich email
mimi michi,35900,ux design,individual-coach,https://www.youtube.com/channel/UCxgbmfU0a2wEBCiklVGkqlA,resolve website + enrich email
Jake's Tech,28600,cybersecurity,individual-coach,https://www.youtube.com/channel/UCuS7YbpU6K_ECGnWPn0L-rg,resolve website + enrich email
Liam Bolling,23000,product management,individual-coach,https://www.youtube.com/channel/UC7A5kJMJTAQOax0Vjags5Dg,resolve website + enrich email
Anthony D. Mays,22400,job search,individual-coach,https://www.youtube.com/channel/UCLB8iajuHf8g_lipb5Wycow,resolve website + enrich email
Connor Murray,21900,tech sales,individual-coach,https://www.youtube.com/channel/UCjnSH6b7z4zYNqPQP_5CTlA,resolve website + enrich email
Shreya Heda,15900,ux design,individual-coach,https://www.youtube.com/channel/UCR_C-rzgadiu334AFIst0pA,resolve website + enrich email
Anubhav Sethi,15700,swe interview,individual-coach,https://www.youtube.com/channel/UCEk7DMfYbJ8rK9G77oOw1tA,resolve website + enrich email
Dave Burji,13000,swe interview,individual-coach,https://www.youtube.com/channel/UC3uSi6M4731NyuoClnG66gA,resolve website + enrich email
Rachel Mlota,12900,break into tech,individual-coach,https://www.youtube.com/channel/UC6kL584JYHTfJyabPtAXkzQ,resolve website + enrich email
Tech Bag Trey,11900,tech sales,individual-coach,https://www.youtube.com/channel/UC7m5BD3_cmT1GnwJBU03cNQ,resolve website + enrich email
Cecilia Kim,10600,ux design,individual-coach,https://www.youtube.com/channel/UCi61xa-UMCkAo3hapTFq_SQ,resolve website + enrich email
Tech Woke,7540,cybersecurity,individual-coach,https://www.youtube.com/channel/UCVq5EoEUv5mYtYVBWjs9uXw,resolve website + enrich email
Chris Bussing,7490,tech sales,individual-coach,https://www.youtube.com/channel/UCjBQk6TlfXkPLRCBn9z4bGA,resolve website + enrich email
Bradley Allen,7430,swe interview,individual-coach,https://www.youtube.com/channel/UCYtU31c9jw4g7tFzDt1MGLw,resolve website + enrich email
Dylan Rich,7320,tech sales,individual-coach,https://www.youtube.com/channel/UCNXrmVdR9Tg8JBnnQpk0hEQ,resolve website + enrich email
Inès Mir,7260,ux design,individual-coach,https://www.youtube.com/channel/UCodqoWDeS21g85dgryKz-Yw,resolve website + enrich email
Vicious Chxld,6020,cybersecurity,individual-coach,https://www.youtube.com/channel/UCpc8s24QsXGu_CqM3EeeDoA,resolve website + enrich email
Kyle Torres,5650,ux design,individual-coach,https://www.youtube.com/channel/UCCxTZw091Q6A7IP_1TynshA,resolve website + enrich email
Heigi Jeong,3870,ux design,individual-coach,https://www.youtube.com/channel/UC6A2JlPQr_IK5_RH7gseGNA,resolve website + enrich email
Tina Louise Chen,3350,product management,individual-coach,https://www.youtube.com/channel/UCld9f5h4Nr-iF-V7Wsg4YdQ,resolve website + enrich email
Hello Interview,217000,swe interview,org/skip,https://www.youtube.com/channel/UC3kf-QFT6FZzDk9JsPg8Svg,resolve website + enrich email
Cass Thompson Career Advice,144000,job search,org/skip,https://www.youtube.com/channel/UCZgW5ffUPOv1VQBt6CQ0zaQ,resolve website + enrich email
System Design Interview,115000,swe interview,org/skip,https://www.youtube.com/channel/UC9vLsnF6QPYuH51njmIooCQ,resolve website + enrich email
Mischa van den Burg,102000,break into tech,org/skip,https://www.youtube.com/channel/UCDAck-gFPTrgTx_qp59-bQA,resolve website + enrich email
Harvard Extension School,88400,job search,org/skip,https://www.youtube.com/channel/UC3KNWfcAsfHDqIzHExknhFQ,resolve website + enrich email
MyDFIR,83700,cybersecurity,org/skip,https://www.youtube.com/channel/UCWoH3f-Yx6TxJfO2O_ezJUw,resolve website + enrich email
Codebagel,81900,swe interview,org/skip,https://www.youtube.com/channel/UChqNJc6T93_uRl2nvmoBm4Q,resolve website + enrich email
